topic,dbms,example_id,concept,expected_row_count,expected_numeric_value,expected_text_value,note
NULL,ORACLE,N05,<> NULL,1,0,,SCORE<>NULL도 항상 UNKNOWN이라 0건
NULL,SQLSERVER,N05,<> NULL,1,0,,SCORE<>NULL도 항상 UNKNOWN이라 0건
NULL,ORACLE,N06,IS NULL,1,1,,ID=2만 해당하여 1건
NULL,SQLSERVER,N06,IS NULL,1,1,,ID=2만 해당하여 1건
NULL,ORACLE,N07,IS NOT NULL,1,2,,ID=1 3 해당하여 2건
NULL,SQLSERVER,N07,IS NOT NULL,1,2,,ID=1 3 해당하여 2건
NULL,ORACLE,N08,TRUE/FALSE/UNKNOWN(TRUE),1,1,,1=1 TRUE 이므로 WHERE 통과 1건
NULL,SQLSERVER,N08,TRUE/FALSE/UNKNOWN(TRUE),1,1,,1=1 TRUE 이므로 WHERE 통과 1건
NULL,ORACLE,N08B,TRUE/FALSE/UNKNOWN(FALSE),1,0,,1=2 FALSE 이므로 0건
NULL,SQLSERVER,N08B,TRUE/FALSE/UNKNOWN(FALSE),1,0,,1=2 FALSE 이므로 0건
NULL,ORACLE,N08C,TRUE/FALSE/UNKNOWN(UNKNOWN),1,0,,NULL=NULL UNKNOWN 이므로 0건 FALSE와 결과상 구분 불가
NULL,SQLSERVER,N08C,TRUE/FALSE/UNKNOWN(UNKNOWN),1,0,,NULL=NULL UNKNOWN 이므로 0건 FALSE와 결과상 구분 불가
NULL,ORACLE,N09,LIKE와 NULL,1,1,,TXT LIKE 'A%'는 APPLE 1건만 매칭 NULL은 매칭 안됨
NULL,SQLSERVER,N09,LIKE와 NULL,1,1,,TXT LIKE 'A%'는 APPLE 1건만 매칭 NULL은 매칭 안됨
NULL,ORACLE,N10,산술 연산 NULL 전파,1,1,,SCORE+10 WHERE ID=2 결과가 NULL임을 확인하는 플래그=1
NULL,SQLSERVER,N10,산술 연산 NULL 전파,1,1,,SCORE+10 WHERE ID=2 결과가 NULL임을 확인하는 플래그=1
NULL,ORACLE,N11,COUNT(*),1,3,,행 3개 전부 센다
NULL,SQLSERVER,N11,COUNT(*),1,3,,행 3개 전부 센다
NULL,ORACLE,N12,COUNT(열),1,2,,SCORE가 NULL인 ID=2 제외하고 2건
NULL,SQLSERVER,N12,COUNT(열),1,2,,SCORE가 NULL인 ID=2 제외하고 2건
NULL,ORACLE,N13,COUNT(DISTINCT 열),1,2,,SCORE_DUP에서 10 20 두 고유값 NULL 제외
NULL,SQLSERVER,N13,COUNT(DISTINCT 열),1,2,,SCORE_DUP에서 10 20 두 고유값 NULL 제외
NULL,ORACLE,N14,SUM,1,30,,10+20=30
NULL,SQLSERVER,N14,SUM,1,30,,10+20=30
NULL,ORACLE,N15,AVG,1,15,,30÷2=15
NULL,SQLSERVER,N15,AVG,1,15,,30÷2=15
NULL,ORACLE,N16,MIN,1,10,,10 20 중 최솟값
NULL,SQLSERVER,N16,MIN,1,10,,10 20 중 최솟값
NULL,ORACLE,N17,MAX,1,20,,10 20 중 최댓값
NULL,SQLSERVER,N17,MAX,1,20,,10 20 중 최댓값
NULL,ORACLE,N18,NULL과 0의 평균 차이,1,10,,SCORE_ZERO(10 20 0) AVG=10 NULL버전 AVG=15(N15)와 대조
NULL,SQLSERVER,N18,NULL과 0의 평균 차이,1,10,,SCORE_ZERO(10 20 0) AVG=10 NULL버전 AVG=15(N15)와 대조
NULL,ORACLE,N19,0행 집계 결과,1,0,,SCORE>1000 조건 0행이지만 집계는 1행 반환(COUNT=0 SUM/AVG/MAX/MIN=NULL)
NULL,SQLSERVER,N19,0행 집계 결과,1,0,,SCORE>1000 조건 0행이지만 집계는 1행 반환(COUNT=0 SUM/AVG/MAX/MIN=NULL)
NULL,ORACLE,N20,IN과 NULL(TRUE),1,1,,1 IN (1 NULL) TRUE 1건
NULL,SQLSERVER,N20,IN과 NULL(TRUE),1,1,,1 IN (1 NULL) TRUE 1건
NULL,ORACLE,N20B,IN과 NULL(FALSE),1,0,,2 IN (1 3) FALSE 0건
NULL,SQLSERVER,N20B,IN과 NULL(FALSE),1,0,,2 IN (1 3) FALSE 0건
NULL,ORACLE,N20C,IN과 NULL(UNKNOWN),1,0,,2 IN (1 NULL) UNKNOWN 0건
NULL,SQLSERVER,N20C,IN과 NULL(UNKNOWN),1,0,,2 IN (1 NULL) UNKNOWN 0건
NULL,ORACLE,N21,NOT IN과 NULL(FALSE),1,0,,1 NOT IN (1 NULL) FALSE 0건
NULL,SQLSERVER,N21,NOT IN과 NULL(FALSE),1,0,,1 NOT IN (1 NULL) FALSE 0건
NULL,ORACLE,N21B,NOT IN과 NULL(UNKNOWN),1,0,,2 NOT IN (1 NULL) UNKNOWN 0건
NULL,SQLSERVER,N21B,NOT IN과 NULL(UNKNOWN),1,0,,2 NOT IN (1 NULL) UNKNOWN 0건
NULL,ORACLE,N21C,NOT IN과 NULL(TRUE),1,1,,2 NOT IN (1 3) TRUE 1건
NULL,SQLSERVER,N21C,NOT IN과 NULL(TRUE),1,1,,2 NOT IN (1 3) TRUE 1건
NULL,ORACLE,N22,서브쿼리 NOT IN과 NULL,0,,,BASE_VALS(1 2 3) NOT IN (EXCLUDE_LIST:1 3 NULL) 서브쿼리에 NULL 있어 전체 0행
NULL,SQLSERVER,N22,서브쿼리 NOT IN과 NULL,0,,,BASE_VALS(1 2 3) NOT IN (EXCLUDE_LIST:1 3 NULL) 서브쿼리에 NULL 있어 전체 0행
NULL,ORACLE,N23,COALESCE,1,-1,,COALESCE(SCORE -1) WHERE ID=2 결과 -1
NULL,SQLSERVER,N23,COALESCE,1,-1,,COALESCE(SCORE -1) WHERE ID=2 결과 -1
NULL,ORACLE,N24,NVL,1,-1,,Oracle NVL(SCORE -1)=-1
NULL,SQLSERVER,N24,NVL 대응(ISNULL),1,-1,,SQL Server는 NVL 없음 ISNULL(SCORE -1)로 동일 기능 대체
NULL,ORACLE,N25,ISNULL 대응(NVL),1,-1,,Oracle은 ISNULL 없음 NVL(SCORE -1)로 동일 기능 대체
NULL,SQLSERVER,N25,ISNULL,1,-1,,SQL Server ISNULL(SCORE -1)=-1
NULL,ORACLE,N26,NULLIF(같은 값),1,1,,NULLIF(10 10) IS NULL 플래그=1
NULL,SQLSERVER,N26,NULLIF(같은 값),1,1,,NULLIF(10 10) IS NULL 플래그=1
NULL,ORACLE,N26B,NULLIF(다른 값),1,10,,NULLIF(10 20)=10 다르므로 첫 값 그대로 반환
NULL,SQLSERVER,N26B,NULLIF(다른 값),1,10,,NULLIF(10 20)=10 다르므로 첫 값 그대로 반환
NULL,ORACLE,N27,0 나누기 방지(분모 0),1,1,,100/NULLIF(0 0) IS NULL 플래그=1 오류 대신 NULL
NULL,SQLSERVER,N27,0 나누기 방지(분모 0),1,1,,100/NULLIF(0 0) IS NULL 플래그=1 오류 대신 NULL
NULL,ORACLE,N27B,0 나누기 방지(분모 정상),1,20,,100/NULLIF(5 0)=20 분모가 0이 아니면 정상 연산
NULL,SQLSERVER,N27B,0 나누기 방지(분모 정상),1,20,,100/NULLIF(5 0)=20 분모가 0이 아니면 정상 연산
NULL,ORACLE,N28,OUTER JOIN으로 생성된 NULL,1,1,,LEFT JOIN 후 WHERE r.ID IS NULL ID=3 1건
NULL,SQLSERVER,N28,OUTER JOIN으로 생성된 NULL,1,1,,LEFT JOIN 후 WHERE r.ID IS NULL ID=3 1건
NULL,ORACLE,N29,OUTER JOIN 이후 COUNT 차이,3,2,,LEFT JOIN 원본 COUNT(*)=3(row_count) COUNT(r.ID)=2(numeric)
NULL,SQLSERVER,N29,OUTER JOIN 이후 COUNT 차이,3,2,,LEFT JOIN 원본 COUNT(*)=3(row_count) COUNT(r.ID)=2(numeric)
NULL,ORACLE,N30,GROUP BY의 NULL(그룹 수),1,2,,REGION GROUP BY 서울 NULL 2그룹
NULL,SQLSERVER,N30,GROUP BY의 NULL(그룹 수),1,2,,REGION GROUP BY 서울 NULL 2그룹
NULL,ORACLE,N30B,GROUP BY의 NULL(NULL 그룹 크기),1,2,,REGION IS NULL인 행 2건이 하나의 그룹으로 묶임
NULL,SQLSERVER,N30B,GROUP BY의 NULL(NULL 그룹 크기),1,2,,REGION IS NULL인 행 2건이 하나의 그룹으로 묶임
NULL,ORACLE,N31,DISTINCT의 NULL,1,2,,DISTINCT VAL 결과 {1 NULL} 2건
NULL,SQLSERVER,N31,DISTINCT의 NULL,1,2,,DISTINCT VAL 결과 {1 NULL} 2건
NULL,ORACLE,N32,ORDER BY의 NULL 위치(ASC),1,3,,Oracle ASC 기본은 NULL 마지막 ID=2행이 3번째
NULL,SQLSERVER,N32,ORDER BY의 NULL 위치(ASC),1,1,,SQL Server ASC 기본은 NULL 처음 ID=2행이 1번째
NULL,ORACLE,N32B,ORDER BY의 NULL 위치(DESC),1,1,,Oracle DESC 기본은 NULL 처음 ID=2행이 1번째
NULL,SQLSERVER,N32B,ORDER BY의 NULL 위치(DESC),1,3,,SQL Server DESC 기본은 NULL 마지막 ID=2행이 3번째
NULL,ORACLE,N33,PRIMARY KEY,1,1,,PK 제약조건 메타데이터 조회 결과 1건
NULL,SQLSERVER,N33,PRIMARY KEY,1,1,,PK 제약조건 메타데이터 조회 결과 1건
NULL,ORACLE,N34,NOT NULL,1,1,,NOT NULL 제약조건 메타데이터 조회 결과 1건
NULL,SQLSERVER,N34,NOT NULL,1,1,,NOT NULL 제약조건 메타데이터 조회 결과 1건
NULL,ORACLE,N35,UNIQUE,3,,,Oracle은 UNIQUE 컬럼에 NULL 2개 모두 허용되어 3행
NULL,SQLSERVER,N35,UNIQUE,2,,,SQL Server는 UNIQUE 컬럼에 NULL 1개만 허용되어 2행(2번째 NULL 삽입은 위반)
NULL,ORACLE,N36,FOREIGN KEY와 NULL,1,1,,FK 컬럼이 NULL인 자식행 1건(선택적 관계로 허용)
NULL,SQLSERVER,N36,FOREIGN KEY와 NULL,1,1,,FK 컬럼이 NULL인 자식행 1건(선택적 관계로 허용)
JOIN_NULL,ORACLE,JN01A,A.등가조인 키 NULL - INNER JOIN 매칭 제외,1,5,,SUL 2명+SUDESTE 3명=5행 권역미배정 C5/C6 제외
JOIN_NULL,SQLSERVER,JN01A,A.등가조인 키 NULL - INNER JOIN 매칭 제외,1,5,,SUL 2명+SUDESTE 3명=5행 권역미배정 C5/C6 제외
JOIN_NULL,ORACLE,JN01B,A.등가조인 키 NULL - LEFT OUTER JOIN 보존(양쪽 NULL도 매칭안됨),1,7,,매칭5행+C5/C6 미매칭보존2행=7행 R4(NULL)와도 매칭안됨
JOIN_NULL,SQLSERVER,JN01B,A.등가조인 키 NULL - LEFT OUTER JOIN 보존(양쪽 NULL도 매칭안됨),1,7,,매칭5행+C5/C6 미매칭보존2행=7행 R4(NULL)와도 매칭안됨
JOIN_NULL,ORACLE,JN02A,B.OUTER JOIN이 만든 패딩 NULL(주문 자체가 없음),1,2,,C5,C7 주문없음: order_id IS NULL로 식별되는 미매칭 보존행 2건
JOIN_NULL,SQLSERVER,JN02A,B.OUTER JOIN이 만든 패딩 NULL(주문 자체가 없음),1,2,,C5,C7 주문없음: order_id IS NULL로 식별되는 미매칭 보존행 2건
JOIN_NULL,ORACLE,JN02B,B.원본에 저장된 NULL(주문은 있으나 금액 NULL),1,2,,O2(C1),O7(C6): order_id NOT NULL인데 amount만 NULL인 실제 저장 NULL 2건
JOIN_NULL,SQLSERVER,JN02B,B.원본에 저장된 NULL(주문은 있으나 금액 NULL),1,2,,O2(C1),O7(C6): order_id NOT NULL인데 amount만 NULL인 실제 저장 NULL 2건
JOIN_NULL,ORACLE,JN03A,C.ON 필터 - 매칭 후보만 제한,1,7,,7명 전원 보존(ON 안의 amount>100은 매칭후보만 줄일 뿐 행을 지우지 않음)
JOIN_NULL,SQLSERVER,JN03A,C.ON 필터 - 매칭 후보만 제한,1,7,,7명 전원 보존(ON 안의 amount>100은 매칭후보만 줄일 뿐 행을 지우지 않음)
JOIN_NULL,ORACLE,JN03B,C.WHERE 필터 - 보존행까지 제거(null-rejecting),1,2,,O3,O4만 남음(WHERE의 amount>100이 NULL패딩 행까지 UNKNOWN으로 제거)
JOIN_NULL,SQLSERVER,JN03B,C.WHERE 필터 - 보존행까지 제거(null-rejecting),1,2,,O3,O4만 남음(WHERE의 amount>100이 NULL패딩 행까지 UNKNOWN으로 제거)
JOIN_NULL,ORACLE,JN04A,D.COUNT(*) - 미매칭 패딩행도 포함,1,8,,LEFT JOIN 결과 총 8행(2+1+1+1+1+1+1)
JOIN_NULL,SQLSERVER,JN04A,D.COUNT(*) - 미매칭 패딩행도 포함,1,8,,LEFT JOIN 결과 총 8행(2+1+1+1+1+1+1)
JOIN_NULL,ORACLE,JN04B,D.COUNT(NOT NULL 보장 키) - 미매칭 제외,1,6,,COUNT(o.order_id)=6 C5/C7 패딩 2건 제외
JOIN_NULL,SQLSERVER,JN04B,D.COUNT(NOT NULL 보장 키) - 미매칭 제외,1,6,,COUNT(o.order_id)=6 C5/C7 패딩 2건 제외
JOIN_NULL,ORACLE,JN04C,D.COUNT(nullable 일반열) - 원본 NULL도 추가 제외,1,4,,COUNT(o.amount)=4 패딩2건+원본NULL(O2,O7)2건 제외
JOIN_NULL,SQLSERVER,JN04C,D.COUNT(nullable 일반열) - 원본 NULL도 추가 제외,1,4,,COUNT(o.amount)=4 패딩2건+원본NULL(O2,O7)2건 제외
JOIN_NULL,ORACLE,JN05A,E.안티조인 - LEFT JOIN+IS NULL(정상),1,2,,주문 없는 고객 C5,C7 정확히 탐지
JOIN_NULL,SQLSERVER,JN05A,E.안티조인 - LEFT JOIN+IS NULL(정상),1,2,,주문 없는 고객 C5,C7 정확히 탐지
JOIN_NULL,ORACLE,JN05B,E.안티조인 - NOT EXISTS(정상),1,2,,상관 서브쿼리라 NULL 영향 없음 JN05A와 동일 2행
JOIN_NULL,SQLSERVER,JN05B,E.안티조인 - NOT EXISTS(정상),1,2,,상관 서브쿼리라 NULL 영향 없음 JN05A와 동일 2행
JOIN_NULL,ORACLE,JN05C,E.안티조인 - NOT IN(고아주문 NULL 때문에 깨짐),1,0,,서브쿼리에 O5/O8의 NULL customer_id 있어 0행(오답)
JOIN_NULL,SQLSERVER,JN05C,E.안티조인 - NOT IN(고아주문 NULL 때문에 깨짐),1,0,,서브쿼리에 O5/O8의 NULL customer_id 있어 0행(오답)
JOIN_NULL,ORACLE,JN05D,E.안티조인 - NOT IN 안전 대안(서브쿼리 NULL 제거),1,2,,WHERE customer_id IS NOT NULL 추가하면 다시 2행(정상)
JOIN_NULL,SQLSERVER,JN05D,E.안티조인 - NOT IN 안전 대안(서브쿼리 NULL 제거),1,2,,WHERE customer_id IS NOT NULL 추가하면 다시 2행(정상)
JOIN_NULL,ORACLE,JN06A,F.안티조인 검사열 - order_id IS NULL(올바름),1,2,,JN02A/JN05A와 동일 2행 NOT NULL 보장 키 검사
JOIN_NULL,SQLSERVER,JN06A,F.안티조인 검사열 - order_id IS NULL(올바름),1,2,,JN02A/JN05A와 동일 2행 NOT NULL 보장 키 검사
JOIN_NULL,ORACLE,JN06B,F.안티조인 검사열 - amount IS NULL(오답 상태 혼합),1,4,,C1,C5,C6,C7 4행 - 주문없음(C5,C7)과 금액NULL(C1,C6)이 뒤섞임
JOIN_NULL,SQLSERVER,JN06B,F.안티조인 검사열 - amount IS NULL(오답 상태 혼합),1,4,,C1,C5,C6,C7 4행 - 주문없음(C5,C7)과 금액NULL(C1,C6)이 뒤섞임
JOIN_NULL,ORACLE,JN07A,G.집계+OUTER JOIN - 실제 합계 0(C3),1,0,RAW_ZERO,C3 SUM(0)=0 원본부터 NULL이 아닌 진짜 0원
JOIN_NULL,SQLSERVER,JN07A,G.집계+OUTER JOIN - 실제 합계 0(C3),1,0,RAW_ZERO,C3 SUM(0)=0 원본부터 NULL이 아닌 진짜 0원
JOIN_NULL,ORACLE,JN07B,G.집계+OUTER JOIN - 주문없어 합계 NULL(C5),1,0,RAW_NULL,C5 SUM은 원본이 NULL NVL/ISNULL로 0 치환한 값이 우연히 C3와 같을 뿐
JOIN_NULL,SQLSERVER,JN07B,G.집계+OUTER JOIN - 주문없어 합계 NULL(C5),1,0,RAW_NULL,C5 SUM은 원본이 NULL NVL/ISNULL로 0 치환한 값이 우연히 C3와 같을 뿐
JOIN_NULL,ORACLE,JN08A,H.GROUP BY c.customer_id(왼쪽 고객별 그룹),1,7,,고객 7명 각자 그룹 - 미매칭 고객도 자기 그룹 유지
JOIN_NULL,SQLSERVER,JN08A,H.GROUP BY c.customer_id(왼쪽 고객별 그룹),1,7,,고객 7명 각자 그룹 - 미매칭 고객도 자기 그룹 유지
JOIN_NULL,ORACLE,JN08B,H.GROUP BY o.customer_id(우측 조인키별 NULL그룹 병합),1,6,,실제고객5그룹+미매칭 NULL 병합그룹1개=6그룹(C5,C7이 하나로 합쳐짐)
JOIN_NULL,SQLSERVER,JN08B,H.GROUP BY o.customer_id(우측 조인키별 NULL그룹 병합),1,6,,실제고객5그룹+미매칭 NULL 병합그룹1개=6그룹(C5,C7이 하나로 합쳐짐)
JOIN_NULL,ORACLE,JN08C,H.병합된 NULL 그룹의 실제 크기,1,2,,o.customer_id IS NULL 그룹에 C5,C7 2행이 들어있음
JOIN_NULL,SQLSERVER,JN08C,H.병합된 NULL 그룹의 실제 크기,1,2,,o.customer_id IS NULL 그룹에 C5,C7 2행이 들어있음
JOIN_NULL,ORACLE,JN09,I.FULL OUTER JOIN 행수(왼쪽전용+공통+오른쪽전용),1,9,,매칭5+왼쪽전용(C5,C6)2+오른쪽전용(R3,R4)2=9행
JOIN_NULL,SQLSERVER,JN09,I.FULL OUTER JOIN 행수(왼쪽전용+공통+오른쪽전용),1,9,,매칭5+왼쪽전용(C5,C6)2+오른쪽전용(R3,R4)2=9행
JOIN_NULL,ORACLE,JN09B,I.COALESCE 통합키가 NULL인 행(양쪽 다 NULL이라 안 합쳐짐),1,3,,C5,C6,R4 3행 - 서로 매칭 안되고 별도 행으로 남아 통합키도 NULL
JOIN_NULL,SQLSERVER,JN09B,I.COALESCE 통합키가 NULL인 행(양쪽 다 NULL이라 안 합쳐짐),1,3,,C5,C6,R4 3행 - 서로 매칭 안되고 별도 행으로 남아 통합키도 NULL
JOIN_NULL,ORACLE,JN10,J.USING과 NULL 키,1,5,,USING(sales_region)도 JN01A와 동일하게 5행 NULL 키 배제는 동일
JOIN_NULL,SQLSERVER,JN10,J.USING 동등 표현과 NULL 키,1,5,,USING 미지원 ON으로도 JN01A와 동일하게 5행
JOIN_NULL,ORACLE,JN11A,K.비등가조인(BETWEEN) INNER - 경계값 포함,1,5,,C1(0),C2(300),C3(301),C6(1000),C7(1001) 매칭 C4(범위밖)/C5(NULL) 제외
JOIN_NULL,SQLSERVER,JN11A,K.비등가조인(BETWEEN) INNER - 경계값 포함,1,5,,C1(0),C2(300),C3(301),C6(1000),C7(1001) 매칭 C4(범위밖)/C5(NULL) 제외
JOIN_NULL,ORACLE,JN11B,K.비등가조인(BETWEEN) LEFT - 미매칭 보존,1,7,,7명 전원 보존 C4/C5는 band 열이 NULL로 채워짐
JOIN_NULL,SQLSERVER,JN11B,K.비등가조인(BETWEEN) LEFT - 미매칭 보존,1,7,,7명 전원 보존 C4/C5는 band 열이 NULL로 채워짐
JOIN_NULL,ORACLE,JN12,L.복합 조인키 일부/양쪽 NULL - INNER,1,1,,O1-E1만 두 열 모두 일치 나머지는 한쪽 또는 양쪽 NULL이라 매칭안됨
